country;agricultural_area_2013;agricultural_area_change_ 1990;perc_agricultural_use_2013
Afghanistan;379100;-0.3;58.1
Albania;  11 873;5.9;43.3
Algeria;  414 316;7.1;17.4
American Samoa;49;63.3;24.5
Andorra;208;9.5;44.3
Angola;  591 900;3.1;47.5
Antigua and Barbuda;90;0;20.5
Argentina; 1 491 990;17;54.5
Armenia;  16 821;...;59.1
Aruba;20;0;11.1
Australia; 3 966 153;-14.6;51.6
Austria;  31 545;-9.9;38.2
Azerbaijan;  47 698;...;57.7
Bahamas;140;16.7;1.4
Bahrain;86;7.5;11.2
Bangladesh;  91 080;-12.3;70
Barbados;140;-26.3;32.6
Belarus;  87 260;...;43
Belgium;  13 365;...;44.1
Belize;  1 600;27;7
Benin;  37 500;65.2;33.3
Bermuda;3;0;6
Bhutan;  5 196;14.4;13.6
Bolivia (Plurinational State of);  376 700;6.2;34.8
Bosnia and Herzegovina;  21 580;...;42.1
Botswana;  258 740;-0.6;45.7
Brazil; 2 788 081;15.4;33.4
British Virgin Islands;70;-12.5;46.7
Brunei Darussalam;144;30.9;2.7
Bulgaria;  49 950;-18.9;46
Burkina Faso;  123 000;28.5;45
Burundi;  20 330;-3.6;79.2
Cabo Verde;840;23.5;20.8
Cambodia;  58 000;30.2;32.9
Cameroon;  97 500;6.3;20.6
Canada;  652 510;-3.7;7.2
Cayman Islands;27;0;11.3
Central African Republic;  50 800;1.5;8.2
Chad;  499 350;3.4;39.7
Channel Islands;94;10.8;49.6
Chile;  157 810;-0.7;21.2
China; 5 145 530;1.8;54.8
China, Hong Kong Special Administrative Region;51;-36.3;4.9
Colombia;  448 156;-0.6;40.4
Comoros;  1 330;16.7;71.5
Congo;  106 270;1;31.1
Cook Islands;15;-75;6.3
Costa Rica;  18 170;-21.2;35.6
Côte d'Ivoire;  206 000;8.8;64.8
Croatia;  13 019;...;23.3
Cuba;  63 423;-5.9;59.6
Cyprus;  1 090;-32.1;11.8
Czech Republic;  42 190;...;54.6
Democratic People's Republic of Korea;  26 300;4.4;21.8
Democratic Republic of the Congo;  262 000;0.9;11.6
Denmark;  26 090;-6.4;61.5
Djibouti;  17 020;31;73.4
Dominica;250;38.9;33.3
Dominican Republic;  23 520;-7.6;48.7
Ecuador;  75 140;-4.2;30.3
Egypt;  37 610;42;3.8
El Salvador;  15 820;12.2;76.4
Equatorial Guinea;  2 840;-15;10.1
Eritrea;  75 920;...;75.2
Estonia;  9 660;...;22.8
Ethiopia;  362 590;...;36.3
Falkland Islands (Malvinas);  11 198;-5.9;92
Faeroe Islands;30;0;2.1
Fiji;  4 250;3.7;23.3
Finland;  22 585;-5.6;7.4
France;  287 737;-5.9;52.5
French Guiana;286;36.2;0.3
French Polynesia;455;5.8;12.4
Gabon;  51 600;0.1;20
Gambia;  6 050;3.2;59.8
Georgia;  25 514;...;36.7
Germany;  166 970;-7.4;47.9
Ghana;  157 000;24.6;69
Greece;  81 370;-11.8;63.1
Greenland;  2 359;0.2;0.6
Grenada;110;-15.4;32.4
Guadeloupe;552;4.2;32.7
Guam;180;-10;33.3
Guatemala;  37 207;-13.2;34.7
Guinea;  145 000;2.5;59
Guinea-Bissau;  16 300;12.6;58
Guyana;  16 780;-3.1;8.5
Haiti;  18 400;15.2;66.8
Honduras;  32 350;-2.6;28.9
Hungary;  53 400;-17.5;59
Iceland;  18 722;-1.5;18.7
India; 1 802 800;-0.6;60.6
Indonesia;  570 000;26.4;31.5
Iran (Islamic Republic of);  461 610;-24.9;28.3
Iraq;  92 300;0;21.3
Ireland;  44 770;-20.7;65
Isle of Man;388;-2;68.1
Israel;  5 203;-10.1;24
Italy;  136 300;-19.1;46.3
Jamaica;  4 440;-6.7;41
Japan;  45 370;-20.3;12.4
Jordan;  10 566;1.6;11.9
Kazakhstan; 2 169 941;...;80.4
Kenya;  276 300;3.2;48.5
Kiribati;340;-12.8;42
Kuwait;  1 536;8.9;8.6
Kyrgyzstan;  105 858;...;55.2
Lao People's Democratic Republic;  23 350;40.7;10.1
Latvia;  18 680;...;30
Lebanon;  6 580;8.8;64.3
Lesotho;  22 521;-3;74.2
Liberia;  27 000;8.3;28
Libya;  153 550;-0.6;8.7
Liechtenstein;56;-20;35
Lithuania;  28 914;...;46.1
Luxembourg;  1 309;...;50.5
Madagascar;  414 150;14;71.2
Malawi;  57 900;37.3;61.4
Malaysia;  78 390;14.5;23.9
Maldives;79;-1.3;26.3
Mali;  412 010;28.2;33.8
Malta;102;-21.3;32
Marshall Islands;115;...;63.9
Martinique;385;-1.3;36.3
Mauritania;  397 110;0.1;38.5
Mauritius;860;-22.5;42.4
Mayotte;122;-32.4;32.5
Mexico; 1 067 050;1.5;54.9
Micronesia (Federated States of);220;...;31.4
Mongolia; 1 133 099;-9.8;72.9
Montenegro;  2 231;...;16.6
Montserrat;30;0;30
Morocco;  304 010;0.2;68.1
Mozambique;  499 500;4.8;63.5
Myanmar;  125 870;20.7;19.3
Namibia;  388 090;0.4;47.1
Nauru;4;0;20
Nepal;  41 210;-0.6;28.7
Netherlands;  18 476;-7.9;54.9
New Caledonia;  1 842;-20.6;10.1
New Zealand;  111 060;-31.4;42.2
Nicaragua;  50 650;25.8;42.1
Niger;  447 820;35.5;35.4
Nigeria;  708 000;15;77.7
Niue;50;4.2;19.2
Norfolk Island;10;0;25
Northern Mariana Islands;30;...;6.5
Norway;  9 872;1.1;2.7
Oman;  14 685;36;4.7
Pakistan;  362 800;3.1;47.1
Palau;50;...;10.9
Panama;  22 570;6.3;30.4
Papua New Guinea;  11 900;35.7;2.6
Paraguay;  215 850;25.8;54.3
Peru;  243 340;11.4;19
Philippines;  124 400;11.7;41.7
Poland;  144 100;-23.3;47.1
Portugal;  36 420;-8.1;39.8
Puerto Rico;  1 977;-54.6;22.3
Qatar;676;10.8;5.8
Republic of Korea;  17 687;-18.8;18.1
Republic of Moldova;  24 610;...;74.8
Réunion;498;-22.2;19.8
Romania;  139 050;-5.9;60.4
Russian Federation; 2 168 400;...;13.2
Rwanda;  18 425;-1.9;74.7
Saint Helena;120;20;30.8
Saint Kitts and Nevis;60;-50;23.1
Saint Lucia;106;-49.3;17.4
Saint Pierre and Miquelon;20;-33.3;8.7
Saint Vincent and the Grenadines;100;-16.7;25.6
Samoa;350;-35.2;12.4
San Marino;10;0;16.7
Sao Tome and Principe;487;16;50.7
Saudi Arabia; 1 732 950;40.3;80.6
Senegal;  89 180;0.6;46.3
Serbia;  50 690;...;58
Seychelles;15;-63;3.3
Sierra Leone;  39 487;39.8;54.7
Singapore;7;-66.5;0.9
Slovakia;  19 285;...;40.1
Slovenia;  4 781;...;23.7
Solomon Islands;  1 080;58.8;3.9
Somalia;  441 250;0.2;70.3
South Africa;  968 410;1.3;79.8
South Sudan;  285 332;...;...
Spain;  269 420;-11.6;53.9
Sri Lanka;  27 400;17.1;43.7
State of Palestine;  2 620;-30.1;43.5
Sudan; 1 088 153;...;...
Suriname;832;-5.5;0.5
Swaziland;  12 220;-1.3;71
Sweden;  30 479;-10.7;7.5
Switzerland;  15 257;-5;38.6
Syrian Arab Republic;  139 210;3.2;75.8
Tajikistan;  48 750;...;34.8
Thailand;  221 100;3.4;43.3
The former Yugoslav Republic of Macedonia;  12 600;...;50
Timor-Leste;  3 800;19.5;25.6
Togo;  38 200;19.7;70.2
Tokelau;6;20;60
Tonga;310;-3.1;43.1
Trinidad and Tobago;540;-29.9;10.5
Tunisia;  99 430;15;64
Turkey;  384 230;-3.2;49.9
Turkmenistan;  338 380;...;72
Turks and Caicos Islands;10;0;1.1
Tuvalu;18;-10;60
Uganda;  144 150;20.5;71.9
