country;protected_proportion_1990;protected_proportion_2014;protected_area_2014
Afghanistan;0.4;0.5;  2 960
Albania;0.2;2.3;764
Algeria;6.3;7.9;  183 010
American Samoa;11.4;12.6;  35 083
Andorra;5.5;19.5;92
Angola;7;7;  87 591
Anguilla;0;0;70
Antigua and Barbuda;0;5.5;165
Argentina;4.4;6.8;  207 882
Armenia;7.9;24.8;  7 346
Aruba;0.5;0.5;1
Australia;7.6;14.6; 4 400 994
Austria;19.2;28.4;  23 791
Azerbaijan;5.2;14;  12 065
Bahamas;6.1;13.3;  3 224
Bahrain;1.4;2.9;364
Bangladesh;0.8;4.6;  7 452
Barbados;0.1;0.2;4
Belarus;6.5;8.6;  17 762
Belgium;7.1;22.9;  8 281
Belize;26;36.7;  10 853
Benin;23.8;28.1;  32 602
Bermuda;5.4;5.8;153
Bhutan;14.2;47.3;  18 888
Bolivia (Plurinational State of);8.8;24.8;  270 603
Bosnia and Herzegovina;0;1.3;656
Botswana;17.9;29.2;  169 420
Brazil;6.7;28.4; 2 485 099
British Virgin Islands;5;8.8;62
Brunei Darussalam;36.9;44.1;  2 676
Bulgaria;2;40.5;  45 929
Burkina Faso;14;15.5;  42 753
Burundi;3.8;6.9;  1 874
Cabo Verde;2.5;2.6;108
Cambodia;0;26;  47 466
Cameroon;5.9;10.9;  51 558
Canada;5.8;9.4;  971 589
Cayman Islands;7.1;8.7;115
Central African Republic;17.7;18.1;  112 961
Chad;11.7;17.8;  227 001
Chile;16.1;18.3;  299 334
China;13.6;17; 1 603 075
China, Hong Kong Special Administrative Region;41.1;41.8;461
China, Macao Special Administrative Region;0;0;0
Colombia;19.5;23.1;  338 514
Comoros;0;10.2;  3 981
Congo;1.7;35.2;  122 304
Cook Islands;0.5;1.2;18
Costa Rica;19.9;27.4;  19 156
Côte d'Ivoire;22.6;22.9;  74 476
Croatia;7.7;37.7;  26 563
Cuba;4.3;12.4;  23 187
Cyprus;0.5;18.4;  1 786
Czech Republic;13.1;21.1;  16 446
Democratic People's Republic of Korea;2.3;2.5;  3 113
Democratic Republic of the Congo;10.1;12.1;  283 118
Denmark;10.5;18.3;  26 197
Djibouti;0;1.3;305
Dominica;21.4;21.5;170
Dominican Republic;20;23;  35 720
Ecuador;22;25.8;  206 432
Egypt;0.4;11.2;  118 574
El Salvador;0;8.4;  2 359
Equatorial Guinea;7.2;25;  7 123
Eritrea;4.9;5;  6 142
Estonia;1.1;20.7;  16 154
Ethiopia;17.7;18.4;  208 907
Faeroe Islands;0;0;96
Falkland Islands (Malvinas);0.4;0.5;  22 435
Fiji;1.2;4.4;  12 772
Finland;4.4;14.8;  58 725
France;10.7;25.3;  227 318
French Guiana;0;52.5;  44 885
French Polynesia;1;2;281
Gabon;5.4;20.5;  56 404
Gambia;1.7;4.2;474
Georgia;1.9;8.3;  5 991
Germany;19.6;37.4;  159 169
Ghana;14.6;15.1;  36 390
Greece;9.7;34.9;  53 574
Greenland;40.8;41.2;  988 780
Grenada;1.7;2.1;13
Guadeloupe;64.9;65.8;  2 552
Guam;25.8;27.1;267
Guatemala;25.9;31.8;  35 863
Guinea;6.8;29.2;  72 543
Guinea-Bissau;8.3;16.4;  14 590
Guyana;0.3;8.7;  18 371
Haiti;0.3;0.3;93
Honduras;13.5;21.6;  25 929
Hungary;6.1;22.6;  21 004
Iceland;2.8;16.7;  19 831
India;4.7;5.4;  167 688
Indonesia;10.1;14.7;  475 062
Iran (Islamic Republic of);5.6;7.3;  119 583
Iraq;0.1;0.4;  1 666
Ireland;0.2;14.4;  16 686
Israel;12;19.9;  4 173
Italy;5.8;21.5;  112 035
Jamaica;9.9;15.9;  3 618
Japan;18.1;19.4;  92 349
Jordan;1.1;2.1;  1 915
Kazakhstan;2.4;3.3;  88 578
Kenya;11.4;12.4;  73 923
Kiribati;5.7;22.2;  408 637
Kuwait;2;18.4;  3 217
Kyrgyzstan;6.3;6.9;  13 874
Lao People's Democratic Republic;1.5;16.7;  38 542
Latvia;6.6;18.2;  16 601
Lebanon;0.5;2.7;276
Lesotho;0.5;0.5;166
Liberia;1.6;2.5;  2 676
Libya;0.1;0.3;  6 318
Liechtenstein;40.2;44.3;74
Lithuania;2;16.8;  11 546
Luxembourg;12.1;34.6;901
Madagascar;2.4;5;  35 628
Malawi;15;16.8;  19 986
Malaysia;17.2;18.4;  64 584
Maldives;0.1;0.7;610
Mali;3.8;8.4;  105 290
Malta;0.1;23.1;262
Marshall Islands;0.2;7.9;  3 852
Martinique;61.5;61.6;748
Mauritania;0.6;1;  16 542
Mauritius;0.4;4.5;142
Mayotte;0;0;  63 325
Mexico;2.4;12.9;  316 047
Micronesia (Federated States of);3;4.3;95
Monaco;23.4;53.4;285
Mongolia;4.1;17.2;  269 427
Montenegro;2.6;4.1;573
Montserrat;2.3;10.5;11
Morocco;0.2;33.6;  137 503
Mozambique;13.5;17.2;  148 808
Myanmar;3;7.2;  48 592
Namibia;11.6;37.9;  322 877
Nauru;0;0;0
Nepal;7.7;22.9;  33 865
Netherlands;4.4;11.6;  17 963
New Caledonia;6.1;54.3; 1 311 632
New Zealand;24.7;32.5; 1 309 103
Nicaragua;15.4;37.1;  63 199
Niger;7.7;17.6;  209 548
Nigeria;11.6;14.2;  129 645
Niue;0;9.7;61
Northern Mariana Islands;1.3;3.4;  256 102
Norway;17.8;29.2;  182 326
Oman;0;10.7;  33 894
Pakistan;10.1;10.8;  87 805
Palau;0.3;16;  1 472
Panama;18.2;20.6;  21 144
Papua New Guinea;1.9;3.1;  18 841
Paraguay;2.9;6.5;  26 092
Peru;4.8;31.4;  413 231
Philippines;8.7;11;  51 844
Poland;11.1;30;  100 805
Portugal;8.4;22.1;  34 327
Puerto Rico;10;10.3;  1 271
Qatar;1.8;3.2;540
Republic of Korea;5.1;7.6;  10 979
Republic of Moldova;1;3.8;  1 298
Réunion;3.3;76.3;  1 986
Romania;2.8;23.8;  59 005
Russian Federation;5;11.4; 2 140 809
Rwanda;8.8;9.4;  2 401
Saint Kitts and Nevis;3.3;3.3;26
Saint Lucia;14.3;16.9;111
Saint Vincent and the Grenadines;19.9;22.5;171
Samoa;2.4;6.8;309
San Marino;0;0;0
Sao Tome and Principe;0;0;0
Saudi Arabia;7.6;31.3;  608 232
Senegal;25.2;25.2;  51 617
Serbia;3.7;6.8;  5 980
Seychelles;42;42.1;689
Sierra Leone;2.8;10.9;  8 786
Singapore;5.4;5.8;44
Slovakia;14.8;36.6;  17 929
Slovenia;7.3;53.6;  11 045
Solomon Islands;0.1;2.2;  2 545
Somalia;0.6;0.6;  3 806
South Africa;5.7;8.9;  283 297
South Sudan;12.8;20.8;  131 806
Spain;8.1;28;  153 955
Sri Lanka;20.3;23.2;  15 870
State of Palestine;0;0;0
Sudan;1.3;1.7;  32 402
Suriname;3.5;14.7;  23 706
Swaziland;4;4;697
Sweden;6.3;14.8;  78 754
Switzerland;0.7;9.9;  4 105
Syrian Arab Republic;0.3;0.7;  1 327
Tajikistan;2.6;21.9;  31 182
Thailand;11.9;18.8;  102 818
The former Yugoslav Republic of Macedonia;8.2;9.7;  2 469
Timor-Leste;0;8.7;  1 882
Togo;11.1;25;  14 414
Tokelau;0;0;65
Tonga;1.5;15.9;  10 177
Trinidad and Tobago;30.5;32.5;  2 189
Tunisia;1.3;5.4;  9 435
Turkey;0;0.2;  2 067
Turkmenistan;3;3.2;  15 437
Turks and Caicos Islands;36.5;44.4;602
Tuvalu;0.4;2.4;63
Uganda;12.3;16;  38 907
Ukraine;2;4;  28 831
United Arab Emirates;12.6;18.6;  19 952
United Kingdom of Great Britain and Northern Ireland;21.8;28.4;  140 494
United Republic of Tanzania;27;32;  310 029
United States of America;13.7;13.9; 2 895 613
United States Virgin Islands;14.9;15.3;179
Uruguay;2.2;2.7;  5 204
Uzbekistan;2.1;3.4;  14 564
Vanuatu;3.7;4.2;  15 119
Venezuela (Bolivarian Republic of);40;53.9;  510 115
Viet Nam;4.6;6.5;  25 153
Western Sahara;0;0;0
Yemen;0;0.8;  6 082
Zambia;36.1;37.9;  286 016
Zimbabwe;16.9;26.6;  104 480
